Transaction_ID,Customer_ID,Amount,Category,Timestamp
639673,3568,151.91,Clothing,2026-03-08 15:48:34.405234
407175,4948,395.73,Food,2026-03-08 15:48:36.423809
865567,3577,515.69,Electronics,2026-03-08 15:48:38.427764
825983,1656,883.16,Bills,2026-03-08 15:48:40.432892
255867,2218,264.57,Travel,2026-03-08 15:48:42.440427
107091,4988,782.17,Clothing,2026-03-08 15:48:44.446929
411733,3562,336.47,Travel,2026-03-08 15:48:46.452508
482529,4209,50.21,Travel,2026-03-08 15:48:48.456646
409445,3065,674.57,Food,2026-03-08 15:48:50.460446
522765,3446,900.28,Electronics,2026-03-08 15:48:52.464418
529299,4915,964.86,Bills,2026-03-08 15:48:54.467622
228299,1172,585.12,Food,2026-03-08 15:48:56.474564
870013,2367,204.02,Travel,2026-03-08 15:48:58.485199
416424,2324,383.39,Food,2026-03-08 15:49:00.501166
198467,1168,405.4,Clothing,2026-03-08 15:49:02.510196
142403,1108,541.41,Bills,2026-03-08 15:49:04.527574
748510,3098,298.4,Bills,2026-03-08 15:49:06.550021
994190,4487,373.88,Clothing,2026-03-08 15:49:08.554134
997090,3428,6301.03,Travel,2026-03-08 15:49:10.571776
764459,4149,305.86,Electronics,2026-03-08 15:49:12.575274
960937,3895,952.26,Electronics,2026-03-08 15:49:14.578772
418561,2805,810.67,Bills,2026-03-08 15:49:16.582395
469200,4113,493.73,Clothing,2026-03-08 15:49:18.606863
299422,1114,809.76,Bills,2026-03-08 15:49:20.610929
269817,1995,217.84,Travel,2026-03-08 15:49:22.617806
396555,1709,23.35,Clothing,2026-03-08 15:49:24.623906
339560,3872,296.31,Clothing,2026-03-08 15:49:26.629496
684088,4626,821.24,Electronics,2026-03-08 15:49:28.634854
259283,3822,238.43,Clothing,2026-03-08 15:49:30.640305
862932,2583,976.06,Travel,2026-03-08 15:49:32.646813
574355,4554,445.47,Travel,2026-03-08 15:49:34.653741
200197,1599,11401.65,Bills,2026-03-08 15:49:36.660232
964420,2382,935.51,Travel,2026-03-08 15:49:38.671145
570550,2263,320.3,Food,2026-03-08 15:49:40.676907
490219,2530,356.95,Electronics,2026-03-08 15:49:42.691731
232993,1550,797.97,Bills,2026-03-08 15:49:44.703843
320357,1970,138.05,Food,2026-03-08 15:49:46.731575
733383,2551,500.93,Travel,2026-03-08 15:49:48.741730
465474,2133,88.02,Electronics,2026-03-08 15:49:50.778166
447449,2241,204.63,Food,2026-03-08 15:49:52.789184
393078,3580,618.93,Clothing,2026-03-08 15:49:54.795429
420621,4552,8544.08,Bills,2026-03-08 15:49:56.803755
374539,2079,809.53,Clothing,2026-03-08 15:49:58.810677
807348,3718,872.12,Food,2026-03-08 15:50:00.819809
736025,2056,899.52,Food,2026-03-08 15:50:02.825706
610546,3877,999.94,Clothing,2026-03-08 15:50:04.831404
590650,2851,515.03,Electronics,2026-03-08 15:50:06.841148
307436,2187,524.5,Electronics,2026-03-08 15:50:08.857715
238384,2603,628.51,Bills,2026-03-08 15:50:10.864042
787081,2257,409.57,Food,2026-03-08 15:50:12.870450
709905,3964,836.4,Electronics,2026-03-08 15:50:14.875380
165525,2601,135.4,Food,2026-03-08 15:50:16.879142
911768,1009,615.85,Bills,2026-03-08 15:50:18.883594
225792,3959,179.81,Food,2026-03-08 15:50:20.896279
883022,4276,826.52,Travel,2026-03-08 15:50:22.913668
243547,3718,988.4,Clothing,2026-03-08 15:50:24.922639
347993,4839,968.7,Travel,2026-03-08 15:50:26.928016
236496,1930,8270.22,Food,2026-03-08 15:50:28.932012
348925,2602,516.8,Bills,2026-03-08 15:50:30.938452
698699,1959,145.83,Bills,2026-03-08 15:50:32.944403
777625,3998,646.39,Electronics,2026-03-08 15:50:34.951612
262068,4692,214.32,Food,2026-03-08 15:50:36.957874
704553,2012,26.19,Travel,2026-03-08 15:50:38.966655
401504,3536,164.59,Travel,2026-03-08 15:50:40.972197
639717,1731,644.66,Electronics,2026-03-08 15:50:42.977850
457293,1367,242.09,Electronics,2026-03-08 15:50:44.985071
885799,3460,882.74,Food,2026-03-08 15:50:47.010806
873731,2045,719.03,Bills,2026-03-08 15:50:49.026527
374527,1709,152.5,Food,2026-03-08 15:50:51.032969
365741,4384,414.63,Food,2026-03-08 15:50:53.039820
396514,1085,628.91,Clothing,2026-03-08 15:50:55.046311
642542,4986,197.83,Food,2026-03-08 15:50:57.065028
930092,2005,416.74,Food,2026-03-08 15:50:59.086799
176549,4498,291.37,Electronics,2026-03-08 15:51:01.094541
644848,4929,190.78,Travel,2026-03-08 15:51:03.099954
450883,4758,677.48,Travel,2026-03-08 15:51:05.106351
431836,1736,216.04,Clothing,2026-03-08 15:51:07.112241
948008,4451,12065.39,Food,2026-03-08 15:51:09.118530
446791,3490,747.86,Electronics,2026-03-08 15:51:11.120468
542171,3323,469.19,Electronics,2026-03-08 15:51:13.125061
202903,1673,368.91,Clothing,2026-03-09 08:59:19.713063
772200,2655,225.46,Travel,2026-03-09 08:59:21.730357
196807,1100,776.71,Travel,2026-03-09 08:59:23.732542
672866,3585,507.03,Food,2026-03-09 08:59:25.735742
928764,3670,845.77,Travel,2026-03-09 08:59:27.738365
373293,2972,380.84,Food,2026-03-09 08:59:29.764879
787161,3515,46.56,Clothing,2026-03-09 08:59:31.772086
418093,1228,646.05,Electronics,2026-03-09 08:59:33.786267
932641,2233,119.95,Food,2026-03-09 08:59:35.789792
309991,4347,172.47,Travel,2026-03-09 08:59:37.796908
547303,2924,370.59,Clothing,2026-03-09 08:59:39.800055
596701,3891,731.96,Food,2026-03-09 08:59:41.802301
989998,4115,532.52,Bills,2026-03-09 08:59:43.806116
544814,1075,719.5,Food,2026-03-09 08:59:45.809634
201420,4091,695.24,Bills,2026-03-09 08:59:47.813212
276175,3608,627.38,Bills,2026-03-09 08:59:49.816542
387215,3225,427.45,Food,2026-03-09 08:59:51.840842
611408,3695,196.06,Bills,2026-03-09 08:59:53.907569
556261,4155,14441.44,Bills,2026-03-09 08:59:55.972304
758526,3083,31.44,Electronics,2026-03-09 08:59:58.124338
899992,3591,983.43,Electronics,2026-03-09 09:00:00.128145
706149,4716,551.09,Food,2026-03-09 09:00:02.131317
761393,3556,149.64,Food,2026-03-09 09:00:04.134986
821137,3687,154.47,Clothing,2026-03-09 09:00:06.145522
873835,3682,674.86,Electronics,2026-03-09 09:00:08.229870
770246,1589,359.15,Clothing,2026-03-09 09:00:10.335116
777449,1485,191.12,Bills,2026-03-09 09:00:12.372379
546658,3018,589.3,Clothing,2026-03-09 09:00:14.397994
427570,2357,559.77,Clothing,2026-03-09 09:00:16.414031
304837,4799,205.32,Food,2026-03-09 09:00:18.420678
766685,4189,837.81,Clothing,2026-03-09 09:00:20.498355
723354,1694,812.93,Bills,2026-03-09 09:00:22.550172
814746,3233,820.5,Food,2026-03-09 09:00:24.579757
821018,2509,698.72,Clothing,2026-03-09 09:00:26.587955
343379,4751,221.93,Food,2026-03-09 09:00:28.595222
895430,3010,936.56,Travel,2026-03-09 09:00:30.662977
702518,4299,13775.52,Bills,2026-03-09 09:00:32.667897
740857,4667,141.0,Travel,2026-03-09 09:00:34.712727
